subregion1_code,date,type,new_confirmed_pred
IL,2021-10-29,prediction,7324.235
IL,2021-10-30,prediction,6624.797
IL,2021-10-31,prediction,7727.6353
IL,2021-11-01,prediction,7087.602
IL,2021-11-02,prediction,8507.892
IL,2021-11-03,prediction,8155.489
IL,2021-11-04,prediction,7293.163
IL,2021-11-05,prediction,8946.835
IL,2021-11-06,forecast,7341.892
IL,2021-11-07,forecast,5867.3955
IL,2021-11-08,forecast,8427.452
IL,2021-11-09,forecast,7697.994
IL,2021-11-10,forecast,7962.229
IL,2021-11-11,forecast,8854.443
IL,2021-11-12,forecast,8023.3237
IL,2021-11-13,forecast,6910.763
IL,2021-11-14,forecast,6982.0933
IL,2021-11-15,forecast,7316.2036
IL,2021-11-16,forecast,7118.034
IL,2021-11-17,forecast,9967.499
IL,2021-11-18,forecast,8046.626
IL,2021-11-19,forecast,7178.292
IL,2021-11-20,forecast,6551.284
IL,2021-11-21,forecast,8045.0576
IL,2021-11-22,forecast,7700.729
IL,2021-11-23,forecast,7815.671
IL,2021-11-24,forecast,7615.525
IL,2021-11-25,forecast,8046.3853
IL,2021-11-26,forecast,8458.681
IL,2021-11-27,forecast,8405.005
IL,2021-11-28,forecast,5262.3896
IL,2021-11-29,forecast,7789.68
IL,2021-11-30,forecast,7595.157
IL,2021-12-01,forecast,7481.7373
IL,2021-12-02,forecast,8429.758
IL,2021-12-03,forecast,7731.124
IN,2021-10-16,prediction,5845.571
IN,2021-10-17,prediction,3881.3152
IN,2021-10-18,prediction,4296.5083
IN,2021-10-19,prediction,4101.6006
IN,2021-10-20,prediction,4248.198
IN,2021-10-21,prediction,3867.5876
IN,2021-10-22,prediction,4173.5947
IN,2021-10-23,prediction,4327.276
IN,2021-10-24,prediction,3482.1628
IN,2021-10-25,prediction,3989.9414
IN,2021-10-26,prediction,5025.796
IN,2021-10-27,prediction,4231.483
IN,2021-10-28,prediction,3947.9795
IN,2021-10-29,prediction,4416.7095
IN,2021-10-30,prediction,3969.0928
IN,2021-10-31,prediction,3566.6614
IN,2021-11-01,prediction,3328.4978
IN,2021-11-02,prediction,4952.802
IN,2021-11-03,prediction,5647.1943
IN,2021-11-04,prediction,5984.18
IN,2021-11-05,prediction,6761.315
IN,2021-11-06,forecast,7736.2783
IN,2021-11-07,forecast,4342.7803
IN,2021-11-08,forecast,4780.845
IN,2021-11-09,forecast,3762.9724
IN,2021-11-10,forecast,4601.8735
IN,2021-11-11,forecast,5281.025
IN,2021-11-12,forecast,5944.034
IN,2021-11-13,forecast,4102.621
IN,2021-11-14,forecast,4100.644
IN,2021-11-15,forecast,4338.305
IN,2021-11-16,forecast,4246.027
IN,2021-11-17,forecast,4807.768
IN,2021-11-18,forecast,5115.915
IN,2021-11-19,forecast,5151.862
IN,2021-11-20,forecast,4861.1685
IN,2021-11-21,forecast,4131.6733
IN,2021-11-22,forecast,4520.534
IN,2021-11-23,forecast,4945.117
IN,2021-11-24,forecast,5728.4585
IN,2021-11-25,forecast,6560.3286
IN,2021-11-26,forecast,7812.8735
IN,2021-11-27,forecast,7434.3926
IN,2021-11-28,forecast,6616.0386
IN,2021-11-29,forecast,5680.354
IN,2021-11-30,forecast,5081.464
IN,2021-12-01,forecast,4661.0107
IN,2021-12-02,forecast,6747.3687
IN,2021-12-03,forecast,6916.256
KS,2021-10-16,prediction,2131.7065
KS,2021-10-17,prediction,2976.0627
KS,2021-10-18,prediction,2120.5618
KS,2021-10-19,prediction,3043.2214
KS,2021-10-20,prediction,3106.5745
KS,2021-10-21,prediction,2893.6907
KS,2021-10-22,prediction,2729.8955
KS,2021-10-23,prediction,2348.3684
KS,2021-10-24,prediction,2371.735
KS,2021-10-25,prediction,2278.0466
KS,2021-10-26,prediction,2543.7854
KS,2021-10-27,prediction,2575.9197
